Dist,District,Bldg,Building,Beginning Grade 9 Students,Transferred In,Year 1,Year 2,Year 3,Year 4,Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
05401,Cape Flattery,3145,Neah Bay Junior/ Senior High School,8,0,0,0,0,0,2,2,6,3,1,50.0,33.3,16.7
04228,Cascade,3564,Cascade High School,20,4,0,0,0,1,0,15,9,8,0,88.9,11.1,0.0
04222,Cashmere,3268,Cashmere High School,9,1,0,0,0,0,1,2,8,5,2,62.5,12.5,25.0
08401,Castle Rock,2281,Castle Rock High School,24,3,0,1,0,0,2,7,20,16,1,80.0,15.0,5.0
08401,Castle Rock,5185,Productive Learning Online,0,0,0,0,0,0,0,0,0,0,0,,,
18401,Central Kitsap,3936,Alternative High School,1,19,0,0,1,1,0,11,9,5,2,55.6,22.2,22.2
18401,Central Kitsap,2615,Central Kitsap High School,0,43,0,0,1,1,1,16,27,17,7,63.0,11.1,25.9
18401,Central Kitsap,3237,Central Kitsap Junior High,0,0,0,0,0,0,0,0,0,0,0,,,
18401,Central Kitsap,1903,East Side Alt,1,7,0,0,0,0,0,3,5,5,0,100.0,0.0,0.0
18401,Central Kitsap,3791,Fairview Junior High School,0,0,0,0,0,0,0,0,0,0,0,,,
18401,Central Kitsap,4509,Klahowya Secondary,28,17,0,0,1,0,2,21,24,19,2,79.2,12.5,8.3
18401,Central Kitsap,1653,New Frontiers Jr High,0,0,0,0,0,0,0,0,0,0,0,,,
18401,Central Kitsap,1740,Off Campus,1,4,0,0,1,1,2,1,4,0,0,0.0,100.0,0.0
18401,Central Kitsap,4100,Olympic High School,0,41,0,0,0,0,1,22,19,15,3,78.9,5.3,15.8
18401,Central Kitsap,4249,Ridgetop Junior High,0,0,0,0,0,0,0,0,0,0,0,,,
32356,Central Valley,3918,Barker Center,3,16,0,0,1,1,0,10,9,2,5,22.2,22.2,55.6
32356,Central Valley,3065,Central Valley High School,60,13,1,1,2,1,3,34,39,31,0,79.5,20.5,0.0
